weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -9.780554372650603909e+02 2.400472401032631709e-01 9.008105751989414767e-02 9.238876493129990486e-01 3.371322863872280307e-01 3.362504820170507669e-01 8.997729333647620509e-01 2.924481668860285932e-01 9.160449115541576814e-01 1.560957672559443177e-01
0.000000000000000000e+00 -9.666838472824142627e+02 4.027591616549455189e-01 4.090597010762080377e-01 3.342215388668468012e-02 7.110276196822684636e-01 1.413532410365615499e-01 3.466445308204860742e-01 8.304599623958374144e-01 6.106200096105884878e-01 2.655055801111129155e-01
0.000000000000000000e+00 -9.587850599769325299e+02 3.945782122838741302e-01 9.265984705407188660e-01 3.710215711128299620e-01 3.868138296376341101e-01 8.754665817829109242e-01 4.944018157955007986e-01 6.340026371282522222e-01 4.023270904635162237e-01 1.913941623045565255e-01
0.000000000000000000e+00 -9.576605815386344602e+02 5.115711618114042736e-01 8.900872070368501809e-01 7.555762583763120377e-01 5.496727733026594009e-01 2.061772328144257926e-01 9.324737495361976602e-01 7.820594344236899698e-01 3.210683329482189041e-02 2.953312989534380151e-01
0.000000000000000000e+00 -9.486994285431539993e+02 1.819889176586643176e-01 8.387447709415855046e-01 3.438505722243971885e-01 9.470536847535446778e-01 8.239416037210939292e-01 8.886336387336870590e-01 4.947409022754131191e-01 6.230093994672331048e-01 2.631920666178789725e-01
0.000000000000000000e+00 -9.261686479036936817e+02 1.227321071609713821e-01 3.134338492855004432e-01 1.813525731074816516e-02 5.901484653381101619e-01 9.129222286524769636e-01 2.532427963481582722e-01 7.594238758795330835e-01 7.785675537832378312e-01 3.480882244812177895e-01
0.000000000000000000e+00 -9.224449050064761195e+02 1.571205558170534200e-01 8.755703750512121575e-01 3.150499118898127948e-01 2.734108752620935112e-01 9.915934752979855826e-01 3.031781024983422057e-01 2.591008413213602424e-01 5.849281444431898569e-01 3.964718717930665326e-01
0.000000000000000000e+00 -9.178732311392581096e+02 2.063183927733603928e-01 8.441484131749616981e-01 4.773038172510546406e-02 9.309437071175989953e-01 3.589171666894288570e-01 4.079284804092733197e-01 4.972435498375570306e-01 3.003059555127833846e-01 8.729091832817998942e-01
0.000000000000000000e+00 -9.132705511923862787e+02 8.737916914587644523e-01 6.661689163619953780e-01 5.732002205180518617e-01 2.978053781305365355e-01 3.658202742769722793e-02 5.620518413464768992e-01 9.273915221899203809e-01 9.367377810522631298e-01 3.977317549167409538e-01
0.000000000000000000e+00 -9.078531685471826904e+02 2.414553127079982486e-01 5.169561497210541923e-01 1.930309714718714265e-01 7.584236097311608527e-01 1.898662950455682896e-01 9.681263261886394744e-01 1.401298412423591655e-01 3.406069397687416789e-01 4.825132370599689580e-01
0.000000000000000000e+00 -8.959946965904014178e+02 6.153481888487264406e-01 6.793547996732489658e-01 2.763723272967544276e-02 4.971174456901371608e-01 4.245258323199013750e-01 1.631984941943639411e-01 8.977465553643330098e-01 7.339178872466178838e-02 4.739072540344393403e-01
0.000000000000000000e+00 -8.782764747055907719e+02 5.024678287914441377e-01 8.634009364105390549e-01 1.131193930946183812e-01 3.752841347908236758e-01 5.899891964463271909e-01 2.780841862108802687e-01 7.889090142983191667e-01 2.951083251835975307e-01 3.078465780401576923e-01
0.000000000000000000e+00 -8.489125108965511117e+02 2.115438743481753425e-01 2.072668618956935438e-01 9.764268244546125963e-03 8.782930611985877434e-01 9.463844539737538142e-01 4.836402770682467489e-01 1.906641308973799909e-02 7.569335955671958605e-01 2.695675291309727051e-01
0.000000000000000000e+00 -8.370343781226520150e+02 1.237092007589368770e-03 7.911286501966005025e-01 7.346528981066713371e-01 8.049057516999682527e-01 1.549604725674145200e-01 2.473995656968549506e-01 3.400885083519213925e-01 6.572049946070525062e-01 1.142617872285206504e-01
