weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -1.481961539387426001e+03 1.149706339663422172e+00 4.972692267923721765e-01 2.942083282150092849e+00 1.686275030418823290e-02 2.769304794048827567e+00 9.029559169045324740e-01 1.412895097108083142e+00 6.572587494075602388e-01 4.994621473276072976e+01
0.000000000000000000e+00 -1.480576098390114566e+03 1.300016197612207769e+00 7.901446188231207868e-02 1.619651578763441124e+00 6.503860575593945099e-03 9.758365093462897377e-01 4.238342935171814929e+00 1.698952404793463877e+00 9.851664663738316507e-01 1.368660643113749700e+02
0.000000000000000000e+00 -1.468808947928944235e+03 1.131458726420775163e+00 7.457254272643980553e-01 1.854113746596217416e+00 5.201248541080014109e-02 9.538848444875592802e-01 9.408070742903751338e-02 5.357340703230562440e+00 2.193363327071355506e+00 2.271341030073685374e+02
0.000000000000000000e+00 -1.458783084008708556e+03 1.085231106384612509e+00 6.396213072821594903e-01 2.053212810308237213e+00 7.733591263918450191e-03 8.985149776651955855e-02 2.064023299031763514e+00 3.236551909886245415e+00 2.746462861976821213e+00 4.589941020641597902e+02
0.000000000000000000e+00 -1.350644496249347867e+03 1.115987533745096849e+00 7.115965769396230241e-04 2.989999176639001277e+00 3.283836695540951617e-02 6.812142566539002020e-02 4.157286015325241113e-01 2.957205066281895611e+00 4.994643087271125381e+00 3.935218713925162319e+02
0.000000000000000000e+00 -1.344090562799655345e+03 5.635614629104994666e-01 1.347978096639241175e+00 2.493474404782401344e+00 6.561014606342907562e-02 5.084128731578938520e-01 4.601132044196175386e+00 2.751018767476059446e-01 1.393921578885240764e-01 4.183065410159979365e+02
0.000000000000000000e+00 -1.332300780746102646e+03 7.268805578325598926e-01 3.884417016105866871e+00 3.100503724987668797e+00 1.100258994804903176e-02 1.613628514220461829e+00 -1.063684678169487974e+00 1.166463475418205276e+00 2.990342459180291623e+00 6.624267236597904684e+02
0.000000000000000000e+00 -1.306873666430317144e+03 4.551277390372043818e-01 1.884184246226346671e-01 1.281086668873848922e+00 3.194594581807482653e-02 4.206378227997228936e-01 -1.170154523095956911e+00 2.650825157669955412e-01 5.558457911134235374e+00 3.351983101102964042e+02
0.000000000000000000e+00 -1.291523277053630636e+03 5.476674765353278795e-01 1.274891396529379828e-01 1.464084330878493434e+00 1.666011569002924866e-02 2.916232807670056659e-01 3.202682640391437019e+00 1.783014552068554748e+00 2.284214615754052158e+00 5.302660709077111960e+02
0.000000000000000000e+00 -1.291450409579401366e+03 9.972216594268817902e-02 3.975226295331732107e+00 1.354328450934108030e-01 3.671406061162973966e-02 1.688317479211414840e+00 1.596408950898645429e+00 2.858930090460758855e+00 3.653784703175577686e+00 3.964451968776516537e+02
0.000000000000000000e+00 -1.232874972230442609e+03 5.598900552130220420e-02 7.225656495560805722e-04 9.054747312929174452e-01 1.195090834160356802e-02 1.581526691652512362e+00 -4.911058571978439424e-01 8.579140096629663814e-01 3.597961065914591305e+00 2.349687825918007320e+02
0.000000000000000000e+00 -1.188564321552358251e+03 1.782408603499643918e-01 2.370228492864822623e-01 3.737831749164220341e+00 1.487033256534983361e-01 5.501218745283564804e-01 3.724942598259289195e+00 2.298518628861020152e-01 2.863999763091084727e+00 2.758106382948628266e+01
0.000000000000000000e+00 -1.161707827183889094e+03 5.308107562820115755e-01 1.290562870813228402e+00 2.073146488763851991e+00 4.014053373124992774e-02 9.568650661616503461e-01 2.773770894958350386e+00 8.202706863118359726e-01 5.076901391402579566e-01 8.339939832138675513e+00
0.000000000000000000e+00 -1.130777959115522663e+03 1.126789625279879803e-01 8.655098590845273776e+00 1.409225185732465357e+00 9.313120478766909183e-02 7.841784374604403585e-01 2.876890939381857137e+00 8.989411737630483845e-01 2.442256794814972043e+00 6.043040150836942530e+02
0.000000000000000000e+00 -1.109525919565255435e+03 4.754554485716704360e-01 6.008723624399380014e+00 2.675001380970030596e+00 7.222328727664682757e-02 1.123431589331715719e+00 1.086141595160867279e+00 1.928571404992608374e+00 1.709450851842555297e+00 1.862961122268258123e+02
0.000000000000000000e+00 -1.069121247576963697e+03 3.168386360690634840e-01 2.307448963084334226e-01 1.047610117066363422e+00 9.876146107789025852e-02 9.883014213215841615e-01 3.069559037982330540e+00 9.541633923602137468e-01 1.674465450417777834e+00 6.912298279625335908e+02
0.000000000000000000e+00 -1.048658897746332286e+03 1.490152828682022035e-01 2.967200733440054972e+00 1.771647270207455271e+00 1.212234432905447135e-02 1.300690685958955095e+00 1.612718277479145534e+00 4.179089321925388845e-01 5.011913111710037505e+00 1.553063117946898331e+02
0.000000000000000000e+00 -1.041580961626418230e+03 9.739138683403597563e-02 5.933563931824321035e-04 4.400679558661843016e-01 9.459953727426800851e-02 7.930068205931308789e-01 1.950616958336870432e+00 2.741262986559323878e+00 2.564790462789479975e+00 5.051422136204387243e+02
0.000000000000000000e+00 -1.008988195941579306e+03 8.062031546394758941e-01 2.935881716186217747e-04 3.978936373516881897e+00 7.151476090887856629e-03 1.381592483280575934e+00 2.854119218936817859e+00 5.036248922680230944e-01 1.326158275880635173e+00 1.611367909244846146e+02
0.000000000000000000e+00 -9.950007999465095736e+02 2.701272257353725670e-01 1.392562665403195732e+00 2.093265004330096435e+00 6.215420650195696561e-02 2.660770586533285798e+00 2.515122189531981967e-02 5.561687902320936461e-01 6.099165351658982104e+00 2.072981001682597366e+02
0.000000000000000000e+00 -9.780554372650603909e+02 3.600708601548947563e-01 7.062428442371506115e-04 3.722956436832275617e+00 2.747723807057233722e-02 5.984478968753886852e-01 3.339562735930661219e+00 5.791193154815812427e-01 5.755679928993707506e+00 1.138718622132113865e+02
