α₁ f₁ α₂ variance ν μ c
3.186817444025125678e-01 2.802585549018437282e-03 2.714322922059544840e+00 2.018962675735836917e-02 1.048279854594639682e+00 1.701413377840688135e-02 7.179937896604041959e-06
9.946400980074596720e-01 3.350680874578624343e-03 2.753101996130008722e+00 1.822689193285663770e-02 1.126508353261005846e+00 3.566397934005977044e-01 6.424617642241887744e-06
9.623043766452409331e-01 1.421826653262570420e-02 3.162150784036865669e+00 8.194182106515911918e-03 1.182408918827481559e+00 2.543722645437546670e-01 3.912449253364899949e-06
9.510824116974493370e-01 4.080553861678476620e-03 2.559733194438031045e+00 1.047759755413543194e-02 1.106878704189671936e+00 3.667384405048070839e-01 3.953092963258731605e-05
7.952043691520194191e-02 2.368321715181827009e-03 2.520256281263625553e+00 1.664448032891401377e-02 1.167357490114754981e+00 4.284803480618638583e-01 2.148408627649169800e-05
9.113782545950345204e-01 1.218651737159669526e-03 2.559087193045627817e+00 2.459522841199760640e-02 1.040404393076665768e+00 7.896590539209014104e-01 3.264880810302417785e-06
9.997283762666669960e-01 2.931129795330157401e-03 2.868735787302394424e+00 4.276780534164049269e-02 1.073353435453165750e+00 9.413269381688081916e-01 2.109582100004647829e-03
2.392487884780769014e-01 1.937109856878211191e-03 2.516075120822482525e+00 1.759546889102851439e-02 9.263731288457814905e-01 2.627850426720901300e-01 3.238183375698418937e-05
1.087469983052494316e+00 2.806957325689021007e-03 2.843065328183071561e+00 3.461710293694728741e-02 1.198962583279588046e+00 -2.413382890265707292e-01 4.177797567160607833e-05
2.676139930880990780e-01 2.429781487409604212e-03 2.624425899274925200e+00 1.923754778661300111e-02 1.106038339839554352e+00 1.566037624125378724e-01 1.675589887369529927e-05
4.815673767554895512e-01 1.009805172471785455e-03 2.432479637650561521e+00 1.929366425039678520e-02 9.830071655673068287e-01 4.586555626917372952e-01 1.353523283541078199e-06
2.861078330316998430e-01 1.593232719316778215e-03 2.571012090687506912e+00 2.028242488147326619e-02 1.028754088057446614e+00 1.005403672977987772e-01 9.300874107314371572e-06
1.036677133012108509e+00 3.708732423645334699e-03 2.748847677786579347e+00 1.710356806486136583e-02 1.117617271452248540e+00 -3.788204571660602760e-01 1.019629259718279377e-06
9.590417030286106925e-01 4.790382965559474536e-03 2.818749518488666617e+00 1.517816252115711771e-02 1.062221183278712289e+00 5.422150004231446330e-01 1.113302609885324007e-04
9.123125464686686614e-01 5.508828104090859098e-04 2.384648533146290550e+00 2.115577131764735663e-02 1.086694050281788781e+00 3.315096006079120694e-01 1.249842643263859691e-04
1.107854641867125345e+00 9.678885752297809036e-03 3.095218203324980877e+00 1.591348785062879009e-02 1.156062145282006348e+00 4.349053687526801548e-01 1.045040104549962989e-03
