# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.40021394  0.03214472 -2.74496085]
# Fvar:0.25369798523923454
# FoM:12.916329395924251
# seed: 278900
# seed_gaps: 225596
# Time	Value	Error
6.260000000000000000e+02 1.264290836310297594e+00 1.205445816610978271e-02
6.270000000000000000e+02 1.283862416356852387e+00 3.754326710172915804e-02
6.272500000000000000e+02 1.259229618804501127e+00 2.965244013275032675e-02
6.292500000000000000e+02 9.955203480130165872e-01 2.389255942958849396e-02
6.295000000000000000e+02 1.012013330986877513e+00 1.176057114710341543e-02
6.297500000000000000e+02 9.398292539663147815e-01 1.426143133859518984e-02
6.317500000000000000e+02 9.154610727241420109e-01 9.663840856349298694e-03
6.327500000000000000e+02 9.863655546131456786e-01 1.202004307347932267e-02
6.332500000000000000e+02 9.402757205334425494e-01 9.787114318279431860e-03
6.350000000000000000e+02 9.062976727599937332e-01 2.792736986026951237e-02
6.352500000000000000e+02 9.411071432764043232e-01 3.107834599235616627e-02
6.357500000000000000e+02 9.656935387157116191e-01 2.551797645227305705e-02
6.360000000000000000e+02 1.147608001631825081e+00 3.391119989028106019e-02
6.362500000000000000e+02 1.113285701377771053e+00 2.131562610848221004e-02
6.365000000000000000e+02 1.188472434469355354e+00 2.574601371198923655e-02
6.370000000000000000e+02 1.218828272959762593e+00 2.261265819567948379e-02
6.390000000000000000e+02 1.171892371189789506e+00 1.791079947500849590e-02
6.395000000000000000e+02 1.131773875797804196e+00 2.839653457588506985e-02
6.420000000000000000e+02 1.761566913946209345e+00 2.300856643764194812e-02
6.427500000000000000e+02 1.899443257748961944e+00 2.528740247564605775e-02
6.437500000000000000e+02 1.616506645930557262e+00 2.989168229578609282e-02
6.442500000000000000e+02 1.595235909159354204e+00 2.688720949406611660e-02
6.447500000000000000e+02 1.634674591969017765e+00 2.288633924845233716e-02
6.455000000000000000e+02 1.666516183528211403e+00 2.164249953996396844e-02
6.465000000000000000e+02 1.695533058810810401e+00 1.752728137807718634e-02
6.472500000000000000e+02 1.511303619421832556e+00 1.989146124309953967e-02
6.477500000000000000e+02 1.447354809417778387e+00 1.590870787400536918e-02
6.490000000000000000e+02 1.403309694873107638e+00 1.368191579525131901e-02
6.497500000000000000e+02 1.308603199270266693e+00 1.242399921757025329e-02
6.507500000000000000e+02 1.374917450279084408e+00 3.855991627104084218e-02
