α₁ f₁ α₂ f₂ α₃ variance ν μ
3.909976712371459606e-01 5.386846255291108171e-04 2.641114084418035191e+00 1.173023752339613646e-01 3.920729193280056979e+00 5.548705883524426147e-02 1.137392324847140701e+00 3.772961521174311161e-01
1.092615808593605742e+00 9.214685129855274340e-03 2.551503057460853263e+00 2.081680191984957434e-02 3.296039764515499293e+00 1.320396172243026162e-02 1.108149337085621466e+00 3.459861409324900272e-01
7.870934437165053588e-01 2.540706168374463024e-03 2.273996475654117777e+00 7.171169182504420758e-02 3.751800476901280490e+00 1.568844333283892639e-02 9.860896571972755931e-01 3.797873355413884933e-01
8.047268044483344429e-01 2.960007005621981355e-04 2.174424310459673215e+00 6.223190679604283931e-02 3.397791786835927752e+00 1.934278051849123992e-02 1.155873144284282672e+00 1.019645755132916998e+00
4.176927572742062944e-01 2.274206813492156854e-03 2.475371774373064770e+00 1.575612157546517345e-02 2.833830096229155604e+00 2.229549290071917989e-02 1.014012271396045994e+00 6.725799806469406894e-02
2.412239661960582926e-01 1.897775558948222325e-03 2.682029303993138658e+00 3.632727339516458542e+00 2.840503467502507373e+00 2.977214645356611109e-02 1.176349280293916388e+00 5.185201841684199398e-01
8.927226297741641670e-01 9.791699294756876087e-03 2.670410593719099612e+00 5.302656358387446839e-02 3.542209924105515384e+00 1.078259473196385536e-02 1.179521532794429062e+00 -3.364591759739465893e-03
1.111964803725201678e+00 8.505569121790979362e-03 2.495170537671088873e+00 4.380548475583165291e-02 3.418465815505406624e+00 9.248021483876857352e-03 1.203652882275410008e+00 3.807832059040950901e-01
8.986739487002715077e-01 5.502535012950650339e-03 2.808809550484764550e+00 1.131507363455049653e+00 3.162519830710058599e+00 1.559006455265374812e-02 1.087641696893675514e+00 5.479304556267733384e-01
5.798173021496354496e-01 5.474574021005197645e-04 2.318766696350309964e+00 6.047987876094420429e-02 3.607159867151850996e+00 2.849281364353913049e-02 1.275749788391698614e+00 -3.138799069824504961e-02
7.490870860417226940e-01 4.285210252873228667e-03 2.893260289920689843e+00 2.090049913935274617e+00 3.387906519403963035e+00 2.357853454104476623e-02 1.282831361103216272e+00 5.251555616236884827e-01
