weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -3.119132204555068597e+02 7.899934998649665863e-01 4.577717442755533522e-02 9.347229589367176406e-01 1.623470917718261020e-01 3.117259808640524543e-01 -2.566479125670875217e-01
0.000000000000000000e+00 -2.983124394938361092e+02 7.554827070138786516e-01 2.603953486185881516e+00 3.207261147659545841e+00 2.733730191842970725e-01 1.559821334563775030e+00 7.590286904339093033e-01
0.000000000000000000e+00 -2.956652508946372109e+02 7.968030172832661906e-01 8.342317630560285302e-01 3.342747232361092280e+00 4.230996487237737025e-01 3.991591004904503914e-01 -7.410870654369250410e-02
0.000000000000000000e+00 -2.916339663370143853e+02 5.994143636159354749e-01 6.548821283723508246e-01 1.928040612857357061e+00 2.029604766910332314e-01 1.915185434792876951e+00 1.947682644929994655e+00
0.000000000000000000e+00 -2.913403655603713105e+02 1.245613189819892996e+00 2.967724304058985338e-02 1.249966944878708963e+00 5.303720608687870763e-01 1.146426052788858119e-01 6.300426493618135337e-01
0.000000000000000000e+00 -2.895875036663518358e+02 8.224718808142211790e-01 6.047125878062190596e-01 1.266541820242206073e+00 2.262308970431480826e-01 4.274379534783647294e+00 1.682302350978481353e+00
0.000000000000000000e+00 -2.854834441687046933e+02 6.650507241236315314e-01 5.190981902664535894e-04 7.414881615522299629e-01 8.266869088083211858e-02 9.280243100866762962e-01 6.214268249947042522e-01
0.000000000000000000e+00 -2.769534082216756019e+02 7.269647705340396282e-01 1.167795156567391288e-02 1.156882873248652022e+00 2.494975111629705311e-01 3.276578719612333046e-01 1.069065638852364941e+00
0.000000000000000000e+00 -2.750117179193536003e+02 1.354686816349845446e-01 2.385743297727280776e+00 2.917702605311754738e+00 1.635366224697493501e-02 3.661697440612088350e-01 -8.205309598685500694e-02
0.000000000000000000e+00 -2.740779177098955870e+02 5.461366681998970352e-01 5.138199036169677214e-01 9.477304659040541868e-01 9.438484032254733369e-02 2.871046968305118074e+00 5.060839025289612936e-01
0.000000000000000000e+00 -2.710628485107624783e+02 1.131477192856464309e-01 3.436698234487202408e-02 1.427901413648034579e+00 2.065058733686284467e-02 1.018595584566907242e+00 1.096015900984363967e+00
0.000000000000000000e+00 -2.490659148252227055e+02 8.777719533432246091e-02 4.868529567530903712e+00 2.898393265619708892e+00 6.460436664433601150e-02 5.868689588622424402e-01 5.475770370750249194e-02
0.000000000000000000e+00 -2.365974710050883800e+02 6.234083103875742715e-01 4.880360571793949553e+00 1.157977553032363716e+00 6.343839547808964585e-02 1.336007585761158412e+00 -8.864110633410625661e-01
0.000000000000000000e+00 -2.320794013369227287e+02 6.328565190412418495e-01 5.800211749528686456e-01 3.843186148124335677e+00 3.216052871683476866e-01 1.699288182241413869e+00 -6.124011759442470337e-01
0.000000000000000000e+00 -2.255679668499664103e+02 4.102049767974896843e-01 9.433214477504432427e-01 1.257332337727899318e+00 2.178276733676123150e-02 1.647558697745761025e+00 -4.910714661440893636e-01
0.000000000000000000e+00 -2.191362283173039884e+02 2.361328648165185451e-01 1.990603013207857888e-02 1.326159000324782511e+00 1.773963833389589628e-01 2.268362111707763695e+00 -1.244413558648095997e+00
0.000000000000000000e+00 -2.168771211521790292e+02 6.252149991998124934e-01 8.906678331309713093e-01 1.448456061003417616e+00 1.283185749566649048e-01 6.233847982976760127e-01 1.127371502776454815e+00
0.000000000000000000e+00 -2.076650406516704379e+02 2.316330371255086173e-01 2.783045585249970255e+00 1.691172286987834950e+00 5.086346736706173072e-02 1.416142879107101793e+00 -9.746390463368242996e-02
0.000000000000000000e+00 -2.035680455168737808e+02 4.193501607712569745e-01 3.090358043319306747e-01 3.550658213338699465e+00 8.090297440178186028e-02 1.690497297024834145e-01 1.873070730188880706e+00
0.000000000000000000e+00 -2.020776961780917418e+02 4.781248106472738013e-01 6.771068200989004138e-02 1.457062050308797652e+00 3.536054679189885169e-02 3.027876894000118835e-01 2.061711355670210022e+00
0.000000000000000000e+00 -2.016281172137269095e+02 8.218030964563451946e-01 2.940234576516961962e+00 2.094065056307576889e+00 1.559313279064046369e-02 1.267674836709821173e+00 -2.212590679712956199e+00
0.000000000000000000e+00 -2.005819133880095819e+02 6.912052439043986363e-01 5.567243320035117904e-01 1.251109963775694833e+00 8.921585122999420303e-02 3.950378159119566912e-01 2.009763581045490799e+00
0.000000000000000000e+00 -1.996771781458297994e+02 9.933185710813839941e-01 5.822167174439736304e-01 3.403435720350566296e+00 4.694075305980973667e-01 1.090239654521566903e+00 -1.536049645386317941e+00
0.000000000000000000e+00 -1.889080657537258503e+02 1.074792991344989179e+00 1.551058271594975366e-03 1.184622276117977657e+00 2.389898442033086823e-01 2.763271416087965116e-01 -8.656476505069415905e-01
0.000000000000000000e+00 -1.885256883621341331e+02 5.140788997707144148e-01 1.508628130816087598e+00 1.562392547685693245e+00 1.994222683986175693e-02 9.477654142158309369e-01 1.021928684247416452e+00
0.000000000000000000e+00 -1.871063905993190701e+02 6.624197838722161169e-01 3.077523460624884688e-01 1.469770832443293207e+00 1.740144756580086771e-01 1.019066233391034526e+00 5.313605918496461245e-02
0.000000000000000000e+00 -1.840723947965215359e+02 7.814038794652058417e-01 3.897776709691312735e+00 1.914975047202447600e+00 6.095804949826621327e-02 8.772215920465706862e-01 -2.284839455418979259e+00
0.000000000000000000e+00 -1.777672642939388084e+02 2.011229744531473074e-01 1.435764801935909940e+00 1.223733694411352380e+00 2.717584707479678979e-02 9.650669093064256909e-01 4.932358475062461611e-01
0.000000000000000000e+00 -1.718827565647262077e+02 5.513952775853253607e-01 3.512740394912588493e-01 7.431752868720276073e-01 4.193902175206413313e-02 9.472823717352404360e-01 3.577189913995584836e-01
0.000000000000000000e+00 -1.685793717907497467e+02 4.971052297437384970e-01 1.072660595335893863e+00 9.885238905753741534e-01 5.609976361999347017e-02 1.225508475505659556e+00 1.961604656027097215e-01
0.000000000000000000e+00 -1.666021461980658955e+02 9.756414105098859535e-01 1.592204317391285595e-01 2.582511259728446973e+00 7.615934804905587496e-01 2.105103285137347235e+00 1.181474789778731438e+00
0.000000000000000000e+00 -1.633957499499821324e+02 9.230588591765259698e-01 5.316589905537345145e-02 1.090260278287629614e+00 1.176795551479450502e-01 1.782148085811742666e+00 3.073549834573381823e+00
0.000000000000000000e+00 -1.633281085966617638e+02 8.609591065234531992e-01 9.079793591677415066e+00 9.580514230795196262e-01 8.114300671171589818e-02 8.747437686948528190e-01 1.896754109211329364e+00
0.000000000000000000e+00 -1.601734931483512980e+02 1.160591567056050710e+00 1.215185664916366814e+00 2.819142828839304116e+00 4.177908766921117345e-01 2.408357228501672331e+00 -1.526467936945344328e-01
0.000000000000000000e+00 -1.580042840193156337e+02 4.439799841043387540e-01 1.167228379016081175e-01 1.842271780279737259e+00 2.300546360486384057e-01 1.114263272726280674e+00 9.472375458121129466e-01
0.000000000000000000e+00 -1.401279995688878159e+02 6.855697203759313352e-01 9.320564621140192598e-04 1.030876054436343114e+00 1.113700252285147185e-01 4.305324907550376889e-01 8.931293517861862430e-01
0.000000000000000000e+00 -1.366005085358152655e+02 4.259917086651255902e-01 3.227841004428517319e-02 1.580296715481717573e+00 2.361949945439977688e-02 1.635436720426372448e+00 2.110928561981108675e+00
0.000000000000000000e+00 -1.359825442466220977e+02 6.370455124961518223e-01 4.180658310909220465e-01 1.568083074706271063e+00 8.159724324301426135e-02 2.493458089012018097e-01 1.906017074618596929e+00
0.000000000000000000e+00 -1.327447453416266399e+02 1.017511556457721289e+00 4.914926812984432125e+00 2.001520074076435396e+00 1.846301725307454566e-01 1.062027740931758668e+00 -4.501998148021759683e-01
0.000000000000000000e+00 -1.288608839640603492e+02 6.325166850502879079e-01 8.669204887847601348e-01 3.289881153575056505e+00 1.679579064330775917e-01 4.886900993487794387e-01 5.381453871739114714e-01
0.000000000000000000e+00 -1.286205065079837198e+02 8.811131927620269311e-01 5.652546636905113608e+00 2.576740816222923947e+00 1.219835997290496660e-01 2.964613318873871028e-01 1.600008682760166501e+00
